gene,1054_0003_Control,1054_0004_Control,1054_0005_Control,1054_0006_Control,1054_0014_Control,1054_0020_Control,1054_0021_Control,1054_0022_Control,1054_0025_Control,1054_0027_Control,1054_0028_Control,1068_0002_Control,1068_0003_Control,1068_0004_Control,1068_0005_Control,1068_0012_Control,1068_0013_Control,1068_0018_Control,1068_0019_Control,1068_0020_Control,1068_0023_Control,1068_0024_Control,1068_0025_Control
ENSMUSG00000021669_Col4a3bp,3.77,2.71,7.1899999999999995,2.4,2.2600000000000002,3.21,1.47,5.78,8.07,5.26,3.09,2.79,3.4099999999999997,2.32,4,2.9499999999999997,3.8499999999999996,3.12,3.9899999999999998,3.56,4.63,3.3899999999999997,3.05
ENSMUSG00000021670_Hmgcr,27.3,31.459999999999997,15.01,17.72,12.78,23.29,22.54,15.17,17.08,24.02,14.97,11.08,8.38,13.41,17.439999999999998,13.7,25.88,13.450000000000001,12.84,16.810000000000002,14.76,13.67,11.850000000000001
ENSMUSG00000021671_Poc5,13.27,1.53,5.8,3.3899999999999997,1.31,3.86,10.82,7.67,1.6900000000000002,3.52,3.8099999999999996,3.57,6.6899999999999995,4.109999999999999,0,6.1899999999999995,8.29,0.59,3.8299999999999996,4.24,9.07,1.78,3.02
ENSMUSG00000021676_Iqgap2,3.98,4.75,4.3,2.22,4.13,6.68,6.119999999999999,3.27,5.49,3.9099999999999997,3.32,4.1499999999999995,9.860000000000001,5.819999999999999,4.619999999999999,4.55,6.430000000000001,4.9,10.69,9.28,6.359999999999999,7.99,10.360000000000001
ENSMUSG00000021680_Crhbp,28.45,12.98,2.3099999999999996,6.26,10.56,33.41,4.54,15.51,8.66,5.76,4.430000000000001,7.78,29.12,12.92,5.88,24.5,15.02,7.56,14.49,9.69,19.610000000000003,38.99,33.64
ENSMUSG00000021681_Aggf1,13.6,7.52,12.06,18.79,16.25,6.88,9.41,14.67,17.17,7.96,18.91,9.55,11.98,11.139999999999999,9.83,10.450000000000001,14.34,5.53,12.49,16.17,9.31,11.01,10.950000000000001
ENSMUSG00000021684_Pde8b,12.77,14.43,13.53,6.48,7.359999999999999,3.12,4.23,5.37,4.37,25.2,9.58,6.03,5.96,11.52,6.819999999999999,2.1,8.65,10.239999999999998,5.72,6.7,7.87,5.58,11.04
ENSMUSG00000021686_Ap3b1,6.91,6.9,5.41,9.07,8.49,13.450000000000001,4.8,4.48,3.57,7.109999999999999,6.88,6.68,14.19,5.119999999999999,5.17,3.3499999999999996,6.34,8.9,6.42,12.88,6.859999999999999,11.32,5.53
ENSMUSG00000021687_Scamp1,50.47,41.64,37.57,37.41,29.27,30.89,31.93,35.08,38.04,25.439999999999998,32.59,40.18,26.610000000000003,23.84,26.4,24.459999999999997,34.92,27.03,27.22,29.4,23.979999999999997,23.53,28.52
ENSMUSG00000021690_Jmy,2.3299999999999996,2.29,1.33,1.72,4.57,2.77,4.1,1.71,2.14,1.3800000000000001,1.3900000000000001,2.59,2.29,2.7800000000000002,2.3,1.96,2.2,5.38,0.97,2.65,1.8900000000000001,2.63,2.12
ENSMUSG00000021692_Dimt1,15.82,14.78,17.16,8.88,5.87,19.919999999999998,6.79,22.959999999999997,12.26,3.53,9.01,12.950000000000001,16.779999999999998,17.27,5.96,13.47,15.06,4.51,11.81,12.67,15.219999999999999,11.4,10.850000000000001
ENSMUSG00000021693_Kif2a,7.7,18.38,13.48,9.76,13.239999999999998,10.709999999999999,9.56,9.870000000000001,23.06,13.07,7.819999999999999,10.94,17.2,15.5,12.09,9.19,9.42,20.52,12.11,16.91,9.99,8.33,16.979999999999997
ENSMUSG00000021694_Ercc8,4.72,6.28,0.43000000000000005,4.59,6,3.18,6.87,6.6,5.92,0.22,1.61,5.73,3.17,5.2,4.39,0.52,6.71,12.03,0.25,3.94,4.4,3.03,9.739999999999998
ENSMUSG00000021696_Elovl7,0.9500000000000001,1.61,0.69,0.72,1.87,0.05,0,0.41000000000000003,0.13,0,1.43,0.03,2.01,1.8800000000000001,1.33,1,1.32,0,0.62,0.46,0.46,0.64,0.59
ENSMUSG00000021699_Pde4d,17.39,9.229999999999999,12.27,0,6.45,9.639999999999999,19.67,0.55,3.1,8.739999999999998,6.21,4.18,5.359999999999999,3.3499999999999996,7.33,12.83,4.23,6.31,4.930000000000001,3.8,7.48,8.76,9.8
ENSMUSG00000021700_Rab3c,30.07,32.760000000000005,26.02,31.810000000000002,36.839999999999996,42.2,27.17,27.29,36.36,36.41,27.64,32.339999999999996,21.150000000000002,22.73,34.6,22.479999999999997,29.07,18.87,25.97,25.55,21.16,28.75,35.93
ENSMUSG00000021701_Plk2,88.29,77.84,112.02,82.39,91.69,81.67999999999999,92.29,87.32,99.43,55.309999999999995,80.5,84.52,72.16,86.28,99.47,95.74000000000001,120.05,96.91000000000001,91.9,104.59,74.09,87.61999999999999,83.44000000000001
ENSMUSG00000021703_Serinc5,4.17,1.28,0.52,2.4699999999999998,2.21,3.42,0.11,0.73,2.22,0.62,0.49,0.75,0.8600000000000001,0.16,0.8400000000000001,3.27,2.4099999999999997,4.359999999999999,1.22,3.54,2.22,2.29,0.45
ENSMUSG00000021704_Mtx3,0.8500000000000001,2.67,1.1400000000000001,0.91,1.54,1.74,0.32,0.61,1.83,1.1600000000000001,1.1500000000000001,1.43,1.34,0.42000000000000004,0.25,0.59,1.97,1.09,1.84,1.1700000000000002,0.93,2.53,1.79
ENSMUSG00000021706_Zfyve16,1.05,1.1700000000000002,0.48000000000000004,0.48000000000000004,2.38,0.14,3.84,1.41,0.46,1.79,2.2600000000000002,1.07,2.4899999999999998,0.81,0.88,1.29,1.78,0.77,2.71,1.1,1.05,2.7800000000000002,1.73
ENSMUSG00000021707_Dhfr,1.52,0.44,0.52,1.87,0.26,1.35,0.32999999999999996,0.23,0.31,0.29000000000000004,2.01,0.8200000000000001,1.5,2.69,2.3299999999999996,0.96,1.42,1.2,1.27,2.02,1.1700000000000002,0.8600000000000001,1.56
ENSMUSG00000021708_Rasgrf2,1.92,2.75,3.4099999999999997,3.68,3.3299999999999996,6.57,4.359999999999999,2.1,6.52,1.95,1.47,7.35,8.67,4.67,7.1499999999999995,8.41,5.71,8.07,7.859999999999999,8.18,10.18,8.229999999999999,7.859999999999999
